Search Stats:
                                                 
# of Builds + TBR  174119
# of Fuse          2286338
# of Ratchets      91017
                                 
Tree length        Number of hits
13694.             6725
13695.             26
13696.             14
13697.             2
13698.             1
13699.             1
13702.             1
13704.             1
13705.             1
13706.             1
13710.             1
13711.             1
13717.             1
13720.             3
13721.             2
13722.             1
13723.             3
13724.             1
13725.             1
13726.             1
13730.             1
13732.             1
13735.             1

